Date,Moon,Time,Tide,PreTide,PostTide
20220628,Muku,0.00,0.271134,0.24,0.54
20220628,Muku,0.00,0.271134,0.24,0.54
20220628,Muku,0.00,0.271134,0.24,0.54
20220628,Muku,4.00,0.505498,0.54,-0.15
20220628,Muku,4.00,0.505498,0.54,-0.15
20220628,Muku,4.00,0.505498,0.54,-0.15
20220628,Muku,8.00,-0.129827,0.54,-0.15
20220628,Muku,8.00,-0.129827,0.54,-0.15
20220628,Muku,8.00,-0.129827,0.54,-0.15
20220628,Muku,9.00,-0.134548,-0.15,2.28
20220628,Muku,10.00,0.024102,-0.15,2.28
20220628,Muku,11.00,0.347017,-0.15,2.28
20220628,Muku,12.00,0.795313,-0.15,2.28
20220628,Muku,12.00,0.795313,-0.15,2.28
20220628,Muku,12.00,0.795313,-0.15,2.28
20220628,Muku,13.00,1.297388,-0.15,2.28
20220628,Muku,14.00,1.764392,-0.15,2.28
20220628,Muku,15.00,2.110336,-0.15,2.28
20220628,Muku,16.00,2.271883,-0.15,2.28
20220628,Muku,16.00,2.271883,-0.15,2.28
20220628,Muku,16.00,2.271883,-0.15,2.28
20220628,Muku,17.00,2.222886,2.28,0.21
20220628,Muku,18.00,1.980085,2.28,0.21
20220628,Muku,19.00,1.598553,2.28,0.21
20220628,Muku,20.00,1.158083,2.28,0.21
20220628,Muku,20.00,1.158083,2.28,0.21
20220628,Muku,20.00,1.158083,2.28,0.21
20220628,Muku,24.00,0.208146,0.21,0.53
20220628,Muku,24.00,0.208146,0.21,0.53
20220628,Muku,24.00,0.208146,0.21,0.53
20220707,ʻOlekūkolu,0.00,0.972259,1.4,-0.03
20220707,ʻOlekūkolu,0.00,0.972259,1.4,-0.03
20220707,ʻOlekūkolu,0.00,0.972259,1.4,-0.03
20220707,ʻOlekūkolu,4.00,-0.019828,1.4,-0.03
20220707,ʻOlekūkolu,4.00,-0.019828,1.4,-0.03
20220707,ʻOlekūkolu,4.00,-0.019828,1.4,-0.03
20220707,ʻOlekūkolu,8.00,0.731865,-0.03,1.51
20220707,ʻOlekūkolu,8.00,0.731865,-0.03,1.51
20220707,ʻOlekūkolu,8.00,0.731865,-0.03,1.51
20220707,ʻOlekūkolu,9.00,1.057327,-0.03,1.51
20220707,ʻOlekūkolu,10.00,1.320745,-0.03,1.51
20220707,ʻOlekūkolu,11.00,1.478121,1.51,0.82
20220707,ʻOlekūkolu,12.00,1.511282,1.51,0.82
20220707,ʻOlekūkolu,12.00,1.511282,1.51,0.82
20220707,ʻOlekūkolu,12.00,1.511282,1.51,0.82
20220707,ʻOlekūkolu,13.00,1.430932,1.51,0.82
20220707,ʻOlekūkolu,14.00,1.272702,1.51,0.82
20220707,ʻOlekūkolu,15.00,1.087256,1.51,0.82
20220707,ʻOlekūkolu,16.00,0.926914,1.51,0.82
20220707,ʻOlekūkolu,16.00,0.926914,1.51,0.82
20220707,ʻOlekūkolu,16.00,0.926914,1.51,0.82
20220707,ʻOlekūkolu,17.00,0.832162,1.51,0.82
20220707,ʻOlekūkolu,18.00,0.821405,0.82,1.15
20220707,ʻOlekūkolu,19.00,0.886544,0.82,1.15
20220707,ʻOlekūkolu,20.00,0.995488,0.82,1.15
20220707,ʻOlekūkolu,20.00,0.995488,0.82,1.15
20220707,ʻOlekūkolu,20.00,0.995488,0.82,1.15
20220707,ʻOlekūkolu,24.00,0.972876,1.15,-0.11
20220707,ʻOlekūkolu,24.00,0.972876,1.15,-0.11
20220707,ʻOlekūkolu,24.00,0.972876,1.15,-0.11
20220713,Hoku,0.00,0.127613,0.07,0.57
20220713,Hoku,0.00,0.127613,0.07,0.57
20220713,Hoku,0.00,0.127613,0.07,0.57
20220713,Hoku,4.00,0.546512,0.57,-0.41
20220713,Hoku,4.00,0.546512,0.57,-0.41
20220713,Hoku,4.00,0.546512,0.57,-0.41
20220713,Hoku,8.00,-0.349324,0.57,-0.41
20220713,Hoku,8.00,-0.349324,0.57,-0.41
20220713,Hoku,8.00,-0.349324,0.57,-0.41
20220713,Hoku,9.00,-0.408065,-0.41,2.73
20220713,Hoku,10.00,-0.254964,-0.41,2.73
20220713,Hoku,11.00,0.120982,-0.41,2.73
20220713,Hoku,12.00,0.67773,-0.41,2.73
20220713,Hoku,12.00,0.67773,-0.41,2.73
20220713,Hoku,12.00,0.67773,-0.41,2.73
20220713,Hoku,13.00,1.32731,-0.41,2.73
20220713,Hoku,14.00,1.954543,-0.41,2.73
20220713,Hoku,15.00,2.442883,-0.41,2.73
20220713,Hoku,16.00,2.70109,-0.41,2.73
20220713,Hoku,16.00,2.70109,-0.41,2.73
20220713,Hoku,16.00,2.70109,-0.41,2.73
20220713,Hoku,17.00,2.684185,2.73,0.02
20220713,Hoku,18.00,2.403535,2.73,0.02
20220713,Hoku,19.00,1.923601,2.73,0.02
20220713,Hoku,20.00,1.346189,2.73,0.02
20220713,Hoku,20.00,1.346189,2.73,0.02
20220713,Hoku,20.00,1.346189,2.73,0.02
20220713,Hoku,24.00,0.023125,0.02,0.61
20220713,Hoku,24.00,0.023125,0.02,0.61
20220713,Hoku,24.00,0.023125,0.02,0.61